performance_id,company_id,date,revenue,profit,eps
361483,1448,29-09-2021,33115.27,7036.71,35.33
423408,1103,11-10-2021,25562.17,-1151.8,0.69
426242,7567,14-03-2024,49649.73,-2469.35,36.62
204917,9672,13-06-2024,34951.97,6859.55,16.49
229534,3934,20-01-2023,44899.11,12509.2,48.64
330375,8425,07-02-2022,7459.66,10836.26,2.8
674242,5484,19-05-2022,47695.05,11661.79,48.46
461380,4086,12-04-2022,48932.7,5648.7,44.76
218861,4798,27-05-2022,44181.79,8568.81,44.3
194460,4272,28-01-2023,8516.98,-158.17,37.97
176562,8218,02-12-2022,18495.98,13375.25,-2.93
551009,5575,31-05-2024,43423.59,9158.25,19.35
658338,4369,26-02-2024,2493.17,5708.52,34.41
839132,5953,26-03-2023,26306.36,2698.93,21.6
487424,7510,12-07-2023,19777.9,14161.65,-4.72
191461,7209,29-10-2021,46206.5,13983.08,14.3
561713,2251,14-03-2023,24040.6,13414.91,25.21
635826,2210,04-06-2023,11465.43,6322.87,3.29
569856,1520,23-09-2022,49342.03,-3137.95,49.38
619064,6115,18-08-2023,27068.42,-1905.52,13.16
941592,1833,23-02-2024,18072.23,2000.8,9.9
980685,6016,04-02-2024,28283.47,-570.79,22.13
639133,2426,20-06-2024,23707.15,-1836.72,30.1
283863,2579,23-07-2022,7949.3,-2406.96,-1.48
662435,8138,19-12-2023,40086.3,12274.91,-4.2
693516,4127,06-04-2022,24835.57,216.77,-0.64
389569,4237,06-02-2022,8328.22,6383.13,37.48
111865,9255,23-03-2024,8869.1,12009.02,20.21
871168,2398,09-08-2023,18615.82,1483.14,7.33
990378,5019,11-02-2022,23343.46,-2357.14,29.46
231922,9116,14-05-2023,11661.67,4415.53,31.96
914339,2288,31-07-2024,49633.17,8184.28,18.43
917239,7838,29-05-2023,25251.1,-1561.39,43.19
216328,8721,10-10-2021,5892.68,10636.54,17.76
277835,3116,20-10-2022,41063.58,-1454.33,40.57
145705,6476,17-06-2024,44946.08,10874.74,10.95
774094,1473,18-06-2023,32892.39,1194.48,24.6
246490,1435,08-09-2023,31599.03,3592.01,6.19
622647,9713,22-06-2022,45253.02,7897.22,20.68
422952,5713,31-03-2024,30853.93,-295.64,49.56
804257,7917,28-06-2023,45427.87,-1210.51,29.01
800429,3264,04-08-2022,21418.93,3464.83,49.76
639188,7771,25-01-2022,47605.32,-3026,32.47
721258,2192,01-02-2023,13209.02,10835.84,29.68
772396,2940,28-11-2023,38628.99,-3458.15,6.37
155484,5626,26-07-2024,47668.31,304.55,28.34
844491,1732,12-06-2024,3738.22,745.61,5.05
258962,3776,13-03-2023,39977.35,12809.81,34.74
307684,9295,10-04-2022,18953.67,12485.26,-4.83
297609,5575,03-06-2024,48133.52,8731.63,15.82
830617,8218,12-01-2022,13546.55,6471.64,27.08
694556,2476,04-04-2024,39658.67,1896.45,33.13
722521,2193,15-10-2022,19555.7,13737.98,5
295701,7239,01-10-2022,25949.9,-132.33,45.4
762993,5097,08-10-2022,9300.86,-418.83,46.87
847818,9435,30-07-2023,26522.02,10769.29,-0.11
166213,2902,09-02-2024,49414.69,1017.77,3.61
366730,4606,12-02-2023,23805.98,14686.44,35.37
837642,4432,19-05-2024,21139.58,10751.53,33.01
328667,9787,02-04-2024,30940.17,5388.73,30.07
426598,5592,24-06-2022,18855.01,7421.56,11.01
893614,2194,16-03-2023,13120.63,4249.01,29.07
153144,6149,01-11-2022,25526.15,9510.45,7.91
537607,8725,13-11-2022,4931.66,642.23,41.94
507359,8968,04-11-2021,48357.15,12095.83,19.25
517197,5386,05-04-2023,26426.14,7491.16,38.82
598377,2693,31-10-2021,49337.9,3882.64,38.91
655998,3264,20-06-2024,9699.51,14735.62,29.96
185751,6324,21-06-2024,38187.93,-440.8,27.51
983140,8462,01-11-2022,39744.17,2571.08,-0.75
754434,8442,15-02-2023,36555.96,9475.78,12.5
720575,9042,25-02-2022,42706.99,11563.57,44.95
603099,1711,21-02-2022,47276.42,3672.85,12.49
680859,5478,09-06-2024,10112.48,2173.05,41.03
172320,2013,02-05-2022,7523.76,-2496.32,16.32
