volume_id,company_id,date,buy_volume,sell_volume,net_volume
150543,8800,18-11-2023,6058,51587,-45529
291909,1497,23-07-2022,22053,96552,-74499
195134,6150,09-10-2022,38039,77192,-39153
798654,3116,01-09-2024,35503,42837,-7334
721632,4127,27-09-2022,65647,86984,-21337
793888,1902,16-12-2023,47486,79240,-31754
572231,7771,13-09-2022,47737,40729,7008
380994,5986,20-07-2022,41709,18954,22755
676069,1176,08-10-2023,77569,30689,46880
250385,8037,06-02-2024,26908,88287,-61379
254356,8647,24-09-2024,90218,38027,52191
154481,8442,09-02-2023,87889,2315,85574
568608,5941,17-05-2023,63880,77374,-13494
823107,9817,24-09-2024,87467,58313,29154
731050,4086,27-06-2023,45036,91004,-45968
318576,1479,28-06-2022,49047,55602,-6555
465980,9023,16-08-2024,38820,61479,-22659
692777,7209,10-07-2023,49092,86698,-37606
792847,1351,07-10-2021,77990,6875,71115
118978,1063,08-11-2023,96176,35655,60521
788273,6821,24-05-2023,41646,8048,33598
391829,4574,08-10-2023,4432,81542,-77110
102945,4703,16-05-2023,14080,3120,10960
892322,1479,13-10-2023,59962,61365,-1403
120546,4896,02-04-2024,3989,60824,-56835
166680,8999,21-03-2022,1963,70014,-68051
829380,4241,03-06-2022,42130,72802,-30672
427603,9901,27-05-2024,48703,94428,-45725
805970,1396,19-11-2023,18737,85597,-66860
578157,7011,21-02-2024,63944,83427,-19483
872051,8350,16-11-2023,57066,80551,-23485
222734,5322,15-01-2023,83954,34656,49298
335626,1869,16-01-2022,33719,53602,-19883
858452,5988,13-04-2023,13782,28317,-14535
583114,5330,27-07-2022,95688,27460,68228
575706,7120,13-01-2023,75727,8996,66731
791556,9943,06-04-2023,33335,44629,-11294
279073,5770,28-10-2021,48630,24307,24323
980764,1947,10-05-2022,47910,80024,-32114
390132,5965,05-01-2023,66973,30041,36932
859762,4002,01-09-2022,11072,77870,-66798
472001,9082,08-05-2023,49430,68068,-18638
569890,5965,12-10-2023,16546,49052,-32506
774942,1651,20-10-2022,37684,15914,21770
301632,8691,04-01-2024,90712,28788,61924
534694,1376,17-11-2022,68583,47385,21198
452959,7209,22-12-2023,40422,93474,-53052
681304,2192,20-02-2023,62208,5027,57181
690768,7818,13-02-2024,91466,26099,65367
274913,5385,21-08-2022,20280,31246,-10966
406544,5974,06-11-2023,43967,4833,39134
604012,2085,16-07-2024,50937,94629,-43692
641690,5171,28-04-2024,1303,53348,-52045
417212,4363,09-06-2022,65575,5516,60059
286630,5525,20-02-2023,81483,10004,71479
636730,6563,01-09-2024,18413,89549,-71136
676325,7470,19-10-2022,1847,98679,-96832
702541,7036,09-04-2023,76817,23508,53309
579237,9132,14-08-2022,49386,43636,5750
933707,7204,03-06-2023,63427,1616,61811
867023,9116,18-07-2024,43014,71799,-28785
740525,4968,06-05-2022,56970,91905,-34935
507423,9060,20-06-2024,65226,5309,59917
676254,4798,13-01-2024,98062,49815,48247
894013,4735,09-08-2024,70178,95193,-25015
788377,4539,06-10-2023,58100,14002,44098
603520,3267,02-01-2023,5209,18767,-13558
562906,7072,26-03-2024,84150,50166,33984
125415,3108,08-04-2024,98752,29293,69459
742783,2217,03-11-2022,86674,18299,68375
705156,8800,19-03-2023,84989,71019,13970
772770,6324,16-10-2021,94267,35498,58769
516796,8037,25-02-2023,25565,13700,11865
994788,8576,09-05-2022,59993,43590,16403
269827,3040,04-08-2022,63527,13204,50323
825593,9903,16-08-2023,5370,52314,-46944
801079,1386,12-05-2022,79572,77934,1638
936536,4369,03-08-2022,79534,73361,6173
180979,7330,23-04-2022,64163,46447,17716
267933,9478,06-01-2022,83324,30985,52339
841391,7898,30-01-2024,79218,99026,-19808
820912,9596,03-08-2024,39088,35271,3817
321188,7395,17-06-2024,96603,25000,71603
553113,3292,09-08-2023,20836,8278,12558
608141,4726,14-02-2022,39156,8581,30575
602181,7256,24-11-2022,85845,88253,-2408
697923,6150,25-12-2022,61912,33314,28598
593856,1008,07-07-2022,63462,28372,35090
541252,9719,01-12-2021,34401,98278,-63877
868640,1473,17-02-2024,96894,79729,17165
639625,5319,14-05-2024,82892,18202,64690
525616,1479,01-04-2024,19528,55635,-36107
492324,7911,01-04-2023,41635,72569,-30934
971077,7732,29-06-2024,21561,81623,-60062
523523,4726,06-12-2021,27296,78932,-51636
925987,9951,31-07-2024,47339,75001,-27662
697915,1286,16-07-2023,40863,90588,-49725
476956,2355,17-09-2024,37841,20370,17471
549369,6361,06-09-2024,95894,50773,45121
749583,8051,08-03-2024,41944,23252,18692
868948,8442,26-06-2023,50185,21474,28711
148458,9901,02-10-2023,21054,8528,12526
128681,7470,18-11-2022,15929,16331,-402
923610,5171,13-02-2024,40525,63786,-23261
623671,2991,22-08-2023,14672,68414,-53742
823688,2217,02-12-2022,48488,86682,-38194
892131,1882,29-10-2023,91787,65857,25930
782321,1176,08-10-2023,33833,15699,18134
420143,1082,22-01-2022,53934,43454,10480
705901,7011,19-06-2023,68427,37728,30699
687693,5464,29-01-2023,5707,63065,-57358
532009,3572,09-09-2023,68186,21400,46786
429122,5770,11-07-2024,58427,36305,22122
851046,6016,18-07-2022,43068,4902,38166
808232,8970,19-11-2022,88625,44397,44228
151125,3108,20-08-2022,11436,74620,-63184
858288,4208,04-06-2024,34366,82559,-48193
139896,5632,02-07-2023,24991,55345,-30354
265754,3116,14-06-2024,46535,9565,36970
661635,9055,17-02-2023,9247,32979,-23732
629933,1497,12-10-2021,89209,50168,39041
839824,9441,24-05-2023,35569,95011,-59442
980074,7223,29-03-2023,4980,83525,-78545
648589,4363,08-04-2024,39290,20281,19009
337520,8773,27-07-2023,42839,46394,-3555
343875,6880,21-06-2023,8874,41635,-32761
296570,7771,06-12-2021,62758,45751,17007
837145,2611,10-04-2022,12604,51449,-38845
273309,7225,25-03-2024,21807,54416,-32609
796485,7152,25-04-2023,29903,23937,5966
828148,5988,10-03-2023,21715,37249,-15534
623279,1768,18-04-2022,54862,47150,7712
174040,5575,09-10-2021,61533,43418,18115
286574,6541,01-06-2023,24216,61565,-37349
646856,3559,16-05-2023,55467,17339,38128
507869,4574,23-05-2024,12347,97357,-85010
681585,5249,20-12-2023,77238,29276,47962
758607,2355,22-04-2024,59421,8402,51019
495183,2398,01-05-2024,55853,23563,32290
153906,2074,15-05-2022,90705,53087,37618
282826,7209,09-09-2023,15183,54830,-39647
583351,5889,11-08-2022,67625,39798,27827
884769,9865,10-11-2023,87009,20903,66106
970483,4689,24-07-2022,38580,60128,-21548
675880,2693,12-04-2024,82503,58925,23578
603318,5071,07-11-2023,63065,97666,-34601
628468,9004,18-08-2024,93858,69377,24481
508370,1479,02-06-2022,79443,44198,35245
705176,9128,06-12-2023,31151,79313,-48162
467837,2074,01-05-2023,58679,89325,-30646
357235,8130,26-03-2022,83393,63136,20257
917913,7635,13-05-2024,22725,48794,-26069
782034,6332,15-08-2022,32502,60640,-28138
212493,4208,02-10-2021,21138,93694,-72556
606629,7415,13-06-2023,23677,60441,-36764
934387,6324,23-08-2024,56591,8826,47765
490676,1566,27-11-2022,34110,59632,-25522
658602,5817,25-11-2023,76396,53829,22567
251191,9713,31-07-2024,73089,90076,-16987
106710,3776,11-01-2022,75187,97445,-22258
474774,9865,10-10-2023,6977,68528,-61551
772469,6937,08-03-2022,53901,87015,-33114
142011,6347,28-05-2023,18427,42282,-23855
637452,1302,04-11-2021,6446,54008,-47562
116710,5592,27-09-2022,89341,96687,-7346
149352,5459,04-12-2023,21813,46147,-24334
942230,4208,23-07-2024,38879,83797,-44918
769759,3714,09-04-2022,80778,94267,-13489
388515,2857,06-07-2024,56794,85163,-28369
326889,1882,04-07-2023,25625,20438,5187
935860,1479,21-12-2022,50327,76471,-26144
332195,8030,04-12-2022,78135,20566,57569
740418,3267,21-09-2024,79976,68693,11283
668256,5941,23-03-2024,2270,22883,-20613
210297,7359,06-02-2023,85372,71248,14124
844498,7223,05-01-2022,78733,93239,-14506
650057,9841,07-12-2022,49443,93860,-44417
897066,1473,23-06-2024,66891,55915,10976
977092,9694,02-03-2023,78503,99585,-21082
154931,9951,10-03-2023,40217,82845,-42628
492437,8218,18-07-2024,12683,45249,-32566
729250,9535,24-04-2022,37403,2337,35066
261812,3292,28-11-2021,30135,64275,-34140
670795,5071,31-05-2022,14277,11034,3243
426527,8576,12-08-2022,50771,36939,13832
483893,1016,22-09-2024,23281,68085,-44804
256823,9817,29-05-2023,74501,50290,24211
461648,7401,18-08-2023,74285,31338,42947
741060,1517,10-05-2023,42880,43433,-553
952967,1497,15-10-2021,85810,58829,26981
640262,5705,10-06-2023,3866,23169,-19303
933677,6290,06-11-2021,25437,72514,-47077
912276,5749,08-09-2022,27645,48330,-20685
224707,9694,09-12-2021,61901,23527,38374
594427,4261,04-03-2024,72863,97866,-25003
748242,1537,24-07-2022,26862,1839,25023
